Date,Description,Amount,Payment_Mode,Category
2025-02-14,Hospital Bill,2393.6,NetBanking,Health
2025-01-08,PVR Cinemas,3358.44,NetBanking,Entertainment
2025-02-23,DTH Recharge,1647.89,Card,Utilities
2025-01-21,PVR Cinemas,4379.44,UPI,Entertainment
2025-01-23,Big Bazaar Groceries,3939.21,Cash,Shopping
2025-01-15,Gas Bill,2459.37,Cash,Utilities
2025-02-10,Gas Bill,825.35,NetBanking,Utilities
2025-02-27,Hospital Bill,664.21,UPI,Health
2025-01-30,Mobile Recharge,1814.38,UPI,Utilities
2025-02-15,Myntra Clothing,2537.71,UPI,Shopping
2025-02-07,Swiggy Delivery,4011.61,UPI,Food
2025-02-28,Domino's Pizza,417.91,UPI,Food
2025-01-17,Spotify Premium,3876.28,Cash,Entertainment
2025-01-01,KFC,2400.15,UPI,Food
